id,category,type,question,choice1,choice2,choice3,choice4,answer,explanation
R025,リスク管理,ox,払済保険は保険料の支払いを停止する制度である,○,×,,,0,保障額は減少します
R026,リスク管理,ox,延長保険では保障期間が短くなる場合がある,○,×,,,0,保険金額は維持し期間が短縮されます
R027,リスク管理,ox,解約返戻金は必ず払込保険料総額を上回る,○,×,,,1,下回ることも多いです
R028,リスク管理,ox,終身保険には解約返戻金がある場合が多い,○,×,,,0,貯蓄性があります
R029,リスク管理,ox,医療保険の入院給付金は入院日数に応じて支払われることがある,○,×,,,0,契約内容によります
R030,リスク管理,ox,先進医療特約は先進医療技術に備える特約である,○,×,,,0,技術料等を補償します
R031,リスク管理,ox,保険法は保険契約に関する法律である,○,×,,,0,保険契約の基本ルールを定めています
R032,リスク管理,ox,損害保険には超過保険の概念がある,○,×,,,0,保険価額を超える契約です
R033,リスク管理,ox,火災保険は住宅以外にも加入できる,○,×,,,0,店舗や事務所も対象です
R034,リスク管理,ox,地震保険金額は火災保険金額の範囲内で設定する,○,×,,,0,一定割合で設定します
R035,リスク管理,ox,個人賠償責任保険は日常生活の賠償事故を補償する,○,×,,,0,自転車事故等も対象になります
R036,リスク管理,ox,所得補償保険は働けなくなった際の所得減少に備える,○,×,,,0,就業不能時の補償です
R037,リスク管理,ox,介護保険は公的介護保険とは無関係である,○,×,,,1,連動する商品もあります
R038,リスク管理,ox,生命保険料控除は住民税でも適用される,○,×,,,0,住民税にも控除があります
R039,リスク管理,ox,保険募集人は保険契約の媒介を行う,○,×,,,0,契約手続きをサポートします
R040,リスク管理,ox,保険契約は口頭のみで成立することが多い,○,×,,,1,通常は申込書等によります
R041,リスク管理,ox,被保険利益は損害保険で重要な概念である,○,×,,,0,保険契約成立の要件です
R042,リスク管理,ox,生命保険では被保険利益は不要である,○,×,,,1,一定の利害関係が必要です
R043,リスク管理,ox,再調達価額とは同等の物を再取得する価格である,○,×,,,0,火災保険等で使われます
R044,リスク管理,ox,時価額は再調達価額から消耗分を差し引いた価額である,○,×,,,0,減価償却後の価額です
R045,リスク管理,ox,保険事故発生後は速やかに通知する必要がある,○,×,,,0,契約上の義務です
R046,リスク管理,ox,契約者貸付制度は解約返戻金の範囲で利用できる,○,×,,,0,終身保険等で利用可能です
R047,リスク管理,ox,自賠責保険は物損事故を補償する,○,×,,,1,人身事故のみ対象です
R048,リスク管理,ox,傷害保険は国内旅行中の事故にも備えられる,○,×,,,0,契約内容によります
R049,リスク管理,ox,保険はリスク移転の手段の一つである,○,×,,,0,FPの基本概念です
R050,リスク管理,ox,生命保険の保険料は年齢等で変わることがある,○,×,,,0,年齢や性別などで異なります
F001,金融資産運用,mc,日本銀行が発表する「企業短期経済観測調査（日銀短観）」は、原則として年何回発表されるか。,年2回,年4回,年12回,,1,日銀短観は原則として年4回（3月、6月、9月、12月）発表される。
F002,金融資産運用,mc,景気動向指数のうち、数ヵ月先の景気の動きを示すものはどれか。,先行系列,一致系列,遅行系列,,0,先行系列は景気の動きに先行して動く指標。新規求人数などが該当する。
F003,金融資産運用,mc,景気動向指数のうち、現在の景気の動きを示すものはどれか。,先行系列,一致系列,遅行系列,,1,一致系列は景気の現状を把握するための指標。有効求人倍率などが該当する。
F004,金融資産運用,mc,国内総生産（GDP）の統計を作成し、原則として四半期ごとに公表している機関はどこか。,日本銀行,財務省,内閣府,,2,GDPは内閣府が作成・公表している。
F005,金融資産運用,mc,マネーストック統計は、金融機関から経済全体へどの程度の通貨が供給されているかを示す指標だが、公表している機関はどこか。,日本銀行,財務省,内閣府,,0,マネーストック統計は日本銀行が作成・公表している。
F006,金融資産運用,mc,一般に、景気が良くなり資金需要が高まると、金利はどうなる傾向があるか。,上昇する,低下する,変わらない,,0,景気拡大期には企業の資金需要が増加するため、金利は上昇する傾向がある。
F007,金融資産運用,mc,一般に、物価が継続的に上昇するインフレーションが起こると、金利はどうなる傾向があるか。,上昇する,低下する,変わらない,,0,インフレ時にはお金の価値が下がるため、それを補うために金利は上昇する傾向がある。
F008,金融資産運用,mc,日本銀行が行う公開市場操作（オペレーション）のうち、市場から資金を吸収し金利を上昇させる効果があるのはどれか。,買いオペレーション,売りオペレーション,据え置き,,1,売りオペは日銀が保有する有価証券を売却し、市場の資金を吸収するため金利上昇要因となる。
F009,金融資産運用,mc,預金保険制度により全額保護される「決済用預金」の3要件に含まれないものはどれか。,無利息,要求払い,法人のみ利用可能,,2,決済用預金の3要件は「無利息」「要求払い」「決済サービスを提供できること」。法人個人問わず利用可能。
F010,金融資産運用,mc,預金保険制度において、一般預金等（定期預金など）は1金融機関につき預金者1人当たり元本いくらまで保護されるか。,"1,000万円とその利息","1,300万円とその利息",全額,,0,"一般預金等は、元本1,000万円までとその利息等が保護の対象となる。"
F011,金融資産運用,mc,預金保険制度の保護の対象外となる金融商品はどれか。,当座預金,外貨預金,普通預金,,1,外貨預金、譲渡性預金などは預金保険制度の対象外である。
F012,金融資産運用,mc,証券会社が破綻した場合、投資者保護基金によって一般顧客1人当たりいくらまで補償されるか。,"1,000万円","1,300万円","2,000万円",,0,"投資者保護基金による補償上限は、顧客1人当たり1,000万円である。"
F013,金融資産運用,mc,金融商品販売法において、金融商品販売業者が顧客に説明する義務を負っている事項はどれか。,確実な利益の保証,元本割れリスク等の重要事項,他社商品の欠点,,1,金融商品販売法では、元本割れ等のリスク（重要事項）の事前説明が義務付けられている。
F014,金融資産運用,mc,ゆうちょ銀行の預入限度額について、通常貯金と定期性貯金のそれぞれの限度額の合計は現在いくらか。,"1,000万円","1,300万円","2,600万円",,2,"現在は通常貯金1,300万円、定期性貯金1,300万円の合計2,600万円が限度額となっている。"
F015,金融資産運用,mc,個人向け国債の購入単位（最低額面金額）はいくらか。,1万円,5万円,10万円,,0,個人向け国債は1万円から購入可能である。
F016,金融資産運用,mc,個人向け国債のうち、金利が半年ごとに見直されるタイプはどれか。,固定3年,固定5年,変動10年,,2,変動10年は実勢金利に応じて半年ごとに適用利率が見直される。
F017,金融資産運用,mc,個人向け国債に設定されている下限金利は年何％か。,0.01%,0.05%,0.10%,,1,すべての個人向け国債には年0.05%の下限金利が保証されている。
F018,金融資産運用,mc,個人向け国債は、原則として発行から何年経過すれば中途換金が可能になるか。,1年,3年,5年,,0,個人向け国債は第2期利払日（発行から1年）経過後であればいつでも中途換金可能。
F019,金融資産運用,mc,債券の信用格付において、一般に「投資適格」とされるのはどの格付以上か。,A以上,BBB以上,BB以上,,1,BBB（トリプルB）格以上が投資適格債券、BB格以下が投機的格付債券と呼ばれる。
F020,金融資産運用,mc,一般に、市中金利が上昇したとき、既発債券の価格はどうなるか。,上昇する,下落する,変わらない,,1,金利が上昇すると、相対的に魅力が低下する既発債券の価格は下落する。
F021,金融資産運用,mc,表面利率2%、発行価格100円、償還期間5年の新発債券を、発行時に購入し満期まで保有した場合の応募者利回りはいくらか（単利、税引前）。,1.0%,2.0%,3.0%,,1,発行価格が100円（額面と同額）の場合、応募者利回りは表面利率と同じ2.0%となる。
F022,金融資産運用,mc,表面利率2%、購入価格98円、額面100円、残存期間2年の債券を満期まで保有した場合の最終利回りの計算式として正しいものはどれか。,(2 + (100 - 98) / 2) / 98 * 100,(2 + (98 - 100) / 2) / 100 * 100,(2 + (100 - 98) / 2) / 100 * 100,,0,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。
F023,金融資産運用,mc,国内の証券取引所に上場している内国株式の通常の売買単位は何株か。,1株,100株,"1,000株",,1,現在、全国の証券取引所に上場する内国株式の売買単位は100株に統一されている。
F024,金融資産運用,mc,株式の普通取引における受渡日は、約定日を含めて何営業日目か。,2営業日目,3営業日目,4営業日目,,1,株式の受渡日は、約定日から起算して（約定日を含めて）3営業日目（T+2）である。
F025,金融資産運用,mc,株式の注文方法において、価格を指定せずに注文する「成行注文」と、価格を指定する「指値注文」が同時に出された場合、どちらが優先されるか。,成行注文,指値注文,注文数量が多い方,,0,価格の原則として、成行注文は指値注文に優先して売買が成立する。
F026,金融資産運用,mc,日経平均株価（日経225）の算出対象となる銘柄数はいくつで、どの市場の銘柄から選定されているか。,東証スタンダードの225銘柄,東証プライムの225銘柄,東証グロースの225銘柄,,1,日経平均株価は、東証プライム市場上場銘柄のうち代表的な225銘柄で構成されている。
F027,金融資産運用,mc,東証株価指数（TOPIX）は、どのような基準で算出される指標か。,構成銘柄の株価の単純平均,構成銘柄の株価の時価総額加重平均,構成銘柄の配当利回りの平均,,1,TOPIXは基準日の時価総額を100として、現在の時価総額がどの程度かを指数化したもの。
F028,金融資産運用,mc,株価収益率（PER）を求める計算式はどれか。,株価 ÷ 1株当たり純資産,株価 ÷ 1株当たり純利益,1株当たり配当金 ÷ 株価,,1,PER（倍）＝株価÷1株当たり純利益（EPS）。割安性を測る指標。
F029,金融資産運用,mc,株価純資産倍率（PBR）を求める計算式はどれか。,株価 ÷ 1株当たり純資産,株価 ÷ 1株当たり純利益,当期純利益 ÷ 自己資本,,0,PBR（倍）＝株価÷1株当たり純資産（BPS）。1倍を下回ると割安とされる。
F030,金融資産運用,mc,自己資本利益率（ROE）を求める計算式はどれか。,株価 ÷ 1株当たり純利益,当期純利益 ÷ 自己資本 × 100,配当金総額 ÷ 当期純利益 × 100,,1,ROE（％）＝当期純利益÷自己資本×100。企業の収益性を示す。
F031,金融資産運用,mc,配当利回りを求める計算式はどれか。,1株当たり配当金 ÷ 株価 × 100,配当金総額 ÷ 当期純利益 × 100,株価 ÷ 1株当たり純利益,,0,配当利回り（％）＝1株当たり配当金÷株価×100。投資金額に対する配当金の割合。
F032,金融資産運用,mc,配当性向を求める計算式はどれか。,1株当たり配当金 ÷ 株価 × 100,配当金総額 ÷ 当期純利益 × 100,当期純利益 ÷ 自己資本 × 100,,1,配当性向（％）＝配当金総額÷当期純利益×100。利益のうち配当に回した割合を示す。
F033,金融資産運用,mc,投資信託の仕組みにおいて、実際に資金の運用指図を行う機関はどこか。,販売会社,委託者（委託会社）,受託者（受託会社）,,1,委託会社（運用会社）が投資信託財産の運用指図を行う。
F034,金融資産運用,mc,投資信託の仕組みにおいて、投資信託財産を保管・管理する機関はどこか。,販売会社,委託者（委託会社）,受託者（信託銀行）,,2,受託会社（信託銀行等）が財産の保管および管理を行う。
F035,金融資産運用,mc,投資信託の運用手法で、日経平均株価などのベンチマークに連動する運用成果を目指すものを何というか。,アクティブ運用,パッシブ運用（インデックス運用）,トップダウン運用,,1,ベンチマークに連動する成果を目指す手法をパッシブ（インデックス）運用という。
F036,金融資産運用,mc,投資信託の運用手法で、ベンチマークを上回る運用成果を目指すものを何というか。,アクティブ運用,パッシブ運用,ボトムアップ運用,,0,ベンチマークを上回る成果を目指す手法をアクティブ運用という。
F037,金融資産運用,mc,アクティブ運用の手法のうち、個別企業の財務分析や経営者へのヒアリングなどの調査をもとに銘柄を選定する手法を何というか。,トップダウン・アプローチ,ボトムアップ・アプローチ,グロース投資,,1,個別企業の分析から積み上げていく手法をボトムアップ・アプローチという。
F038,金融資産運用,mc,投資信託の信託報酬はいつ支払うコストか。,購入時,保有期間中,換金時,,1,信託報酬は、投資信託の保有期間中に信託財産から日々差し引かれる管理費用である。
F039,金融資産運用,mc,外貨預金において、預金者が「円」を「外貨」に換えて預け入れる際に適用される為替レートはどれか。,TTM,TTS,TTB,,1,顧客が円を外貨にする（銀行が外貨を売る）レートはTTS（Telegraphic Transfer Selling rate）である。
F040,金融資産運用,mc,外貨預金において、預金者が「外貨」を「円」に換えて引き出す際に適用される為替レートはどれか。,TTM,TTS,TTB,,2,顧客が外貨を円にする（銀行が外貨を買う）レートはTTB（Telegraphic Transfer Buying rate）である。
F041,金融資産運用,mc,現在1米ドル＝100円、円から米ドルへの交換手数料が1ドルあたり1円のとき、100万円を米ドルに換える場合、適用されるレート(TTS)と交換できるドル額はいくらか。,"TTS 99円、約10,101ドル","TTS 101円、約9,900ドル","TTS 101円、約9,901ドル",,2,"TTS＝100円＋1円＝101円。100万円÷101円＝9,900.99...より約9,901ドル。"
F042,金融資産運用,mc,外貨預金の利息に対する税金（源泉分離課税）の税率は、復興特別所得税を含めていくらか。,15.315%,20.315%,20.000%,,1,利子所得として20.315%（国税15.315%、地方税5%）の源泉分離課税となる。
F043,金融資産運用,mc,外貨預金の為替差益は、所得税法上どの所得に分類されるか（事業等を除く）。,利子所得,一時所得,雑所得,,2,外貨預金の為替差益は原則として雑所得となり、総合課税の対象となる。
F044,金融資産運用,mc,ポートフォリオの期待収益率は、組み入れた各資産の期待収益率をどのように計算して求めるか。,各資産の期待収益率の単純平均,各資産の期待収益率の加重平均,各資産の期待収益率のうち最大の数値,,1,ポートフォリオの期待収益率は、各資産の期待収益率を組入比率で加重平均して求める。
F045,金融資産運用,mc,ポートフォリオ運用におけるリスク低減効果を表す指標として「相関係数」がある。相関係数のとり得る範囲はどれか。,0から1まで,-1から1まで,-100から100まで,,1,相関係数は－1から＋1までの値をとる。
F046,金融資産運用,mc,2つの資産を組み合わせてポートフォリオを構築する場合、リスク低減効果が最も大きくなるのは相関係数がいくつのときか。,+1,0,-1,,2,相関係数が－1（全く逆の動きをする）のとき、リスク低減効果が最大となる。
F047,金融資産運用,mc,株式投資において、企業の将来の成長性が高いと見込まれ、現在の株価が利益や純資産に対して割高であっても投資する手法を何というか。,バリュー投資,グロース投資,インデックス投資,,1,企業の高い成長性に注目する投資手法をグロース投資という。
F048,金融資産運用,mc,株式投資において、企業の利益や純資産などの本来の価値に対して、現在の株価が割安であると判断される銘柄に投資する手法を何というか。,バリュー投資,グロース投資,インデックス投資,,0,本来の価値より割安に放置されている銘柄を狙う手法をバリュー投資という。
F049,金融資産運用,mc,NISA（少額投資非課税制度）の「つみたて投資枠」の年間非課税投資枠の上限はいくらか。,120万円,240万円,360万円,,0,2024年からの新NISAにおいて、つみたて投資枠の年間上限は120万円である。
F050,金融資産運用,mc,NISA（少額投資非課税制度）の「成長投資枠」と「つみたて投資枠」を併用した場合の、年間の最大投資可能額はいくらか。,120万円,240万円,360万円,,2,成長投資枠（240万円）とつみたて投資枠（120万円）を併用し、年間最大360万円の投資が可能。
T001,タックスプランニング,mc,所得税は、原則として個人のいつからいつまでに生じた所得に対して課税されるか。,4月1日から翌年3月31日,1月1日から12月31日,生年月日を基準とする1年間,,1,所得税は、暦年（1月1日から12月31日まで）に生じた所得に対して課税される。
T002,タックスプランニング,mc,次のうち、所得税法上、非課税所得となるものはどれか。,老齢基礎年金,遺族基礎年金,公社債の利子,,1,遺族年金や障害年金、雇用保険の基本手当などは非課税所得となる。
T003,タックスプランニング,mc,給与所得の金額の計算式として正しいものはどれか。,給与収入 － 基礎控除,給与収入 － 給与所得控除額,給与収入 － 必要経費,,1,給与所得の金額は、「給与収入金額 － 給与所得控除額」で計算される。
T004,タックスプランニング,mc,退職所得の金額の計算式（特定役員等を除く）として正しいものはどれか。,(退職収入 － 退職所得控除額) × 1/2,退職収入 － 退職所得控除額,(退職収入 － 基礎控除) × 1/2,,0,退職所得は原則として、「（退職収入金額 － 退職所得控除額）× 1/2」で計算される。
T005,タックスプランニング,mc,青色申告特別控除の最大控除額はいくらか（e-Taxによる電子申告等を行う場合）。,10万円,55万円,65万円,,2,正規の簿記の原則による記帳等を行い、e-Taxによる電子申告等を満たす場合、最大65万円の控除が受けられる。
T006,タックスプランニング,mc,所得税の損益通算において、損失の金額を他の所得金額から控除できる所得はどれか。,一時所得,雑所得,不動産所得,,2,損益通算ができる損失は、不動産所得、事業所得、山林所得、譲渡所得（不動産等以外）の4つである。
T007,タックスプランニング,mc,所得税の基礎控除について、2025年度税制改正後の説明として正しいものはどれか。,合計所得金額にかかわらず一律48万円,合計所得金額に応じた段階的な控除（最大95万円）に変更された,廃止された,,1,2025年度税制改正により、基礎控除は従来の一律48万円から合計所得金額に応じた段階制（低所得層は最大95万円、2025・2026年は時限的加算あり）に変更された。
T008,タックスプランニング,mc,医療費控除の控除額の計算において、対象となる医療費から差し引かれる足切り額は、原則としていくらか（総所得金額等が200万円以上の場合）。,5万円,10万円,20万円,,1,医療費控除の足切り額は、原則として10万円（総所得金額200万円未満の場合はその5%）である。
T009,タックスプランニング,mc,住宅借入金等特別控除（住宅ローン控除）を受けるための要件のうち、家屋の床面積の要件はどれか（特例を除く）。,50平方メートル以上,40平方メートル以上,30平方メートル以上,,0,原則として、取得した家屋の床面積が50平方メートル以上で、その半分以上が専ら自己の居住用であることが要件。
T010,タックスプランニング,mc,所得税の確定申告の提出期間は、原則としていつからいつまでか。,翌年1月1日から1月31日,翌年2月16日から3月15日,翌年3月1日から3月31日,,1,原則として、所得が生じた年の翌年2月16日から3月15日までに確定申告を行う必要がある。
E001,不動産,mc,不動産の登記記録において、所有権に関する事項が記録されるのはどの部分か。,表題部,権利部（甲区）,権利部（乙区）,,1,権利部（甲区）には所有権に関する事項が、権利部（乙区）には所有権以外の権利（抵当権など）が記録される。
E002,不動産,mc,不動産の価格のうち、国土交通省が毎年1月1日を標準日として判定し、一般の土地取引価格の指標となるものはどれか。,地価公示価格,基準地標準価格,路線価,,0,地価公示価格は国交省が1月1日基準で公表する。路線価は国税庁（7月）、基準地標準価格は都道府県（7月）。
E003,不動産,mc,宅地建物取引業法において、専任媒介契約の有効期間は最長で何か月か。,1か月,3か月,6か月,,1,専任媒介契約および専属専任媒介契約の有効期間は最長3か月である。
E004,不動産,mc,借地借家法における「定期借地権（一般定期借地権）」の存続期間は原則として何年以上か。,10年以上,30年以上,50年以上,,2,一般定期借地権の存続期間は50年以上。契約の更新や建物の築造による存続期間の延長はない。
E005,不動産,mc,借地借家法における「定期建物賃貸借（定期借家契約）」を締結する際、契約方法はどのように定められているか。,口頭でも有効,書面による契約が必要,公正証書による契約が必要,,1,定期建物賃貸借契約は、公正証書等の「書面」で行う必要がある（事業用定期借地権とは異なり公正証書に限定されない）。
E006,不動産,mc,都市計画法において、市街化区域で行う開発行為で、原則として都道府県知事等の許可が必要となる面積はどれか。,500平方メートル以上,"1,000平方メートル以上","3,000平方メートル以上",,1,"市街化区域における開発行為は、原則1,000平方メートル以上で都道府県知事等の許可が必要。"
E007,不動産,mc,建築基準法における「建蔽率（けんぺいりつ）」の計算式はどれか。,建築面積 ÷ 敷地面積,延べ面積 ÷ 敷地面積,建築面積 ÷ 延べ面積,,0,建蔽率は「建築面積の敷地面積に対する割合」。延べ面積を用いた割合は「容積率」である。
E008,不動産,mc,用途地域のうち、主として住居の環境を保護するための地域で、店舗等の制限が最も厳しいのはどれか。,第一種低層住居専用地域,第一種住居地域,近隣商業地域,,0,第一種低層住居専用地域は、低層住宅のための良好な住居の環境を保護する地域である。
E009,不動産,mc,不動産を取得した際に課される不動産取得税は、国税か地方税（都道府県税・市町村税）か。,国税,都道府県税,市町村税,,1,不動産取得税は地方税（都道府県税）である。固定資産税は市町村税。
E010,不動産,mc,"居住用財産を譲渡した場合の3,000万円特別控除は、所有期間に関係なく適用を受けられるか。",所有期間5年超のみ適用,所有期間10年超のみ適用,所有期間に関係なく適用される,,2,"居住用財産の3,000万円特別控除は、所有期間の長短に関わらず適用要件を満たせば受けられる。"
S001,相続・事業承継,mc,被相続人に配偶者と子がいる場合、配偶者の法定相続分はいくらか。,1/3,1/2,2/3,,1,配偶者と子が相続人の場合、法定相続分は配偶者1/2、子1/2となる。
S002,相続・事業承継,mc,代襲相続において、兄弟姉妹が相続人となる場合、その兄弟姉妹が死亡等しているとき代襲相続人となるのは誰か。,兄弟姉妹の子（甥・姪）まで,兄弟姉妹の孫まで,無制限に代襲する,,0,兄弟姉妹の代襲相続は一代限り（甥・姪まで）であり、再代襲は認められない。
S003,相続・事業承継,mc,自筆証書遺言において、財産目録をパソコン等で作成することは認められているか。,すべて自書しなければならない,財産目録のみパソコン等での作成が認められている,すべてパソコン等での作成が認められている,,1,自筆証書遺言でも、財産目録についてはパソコンでの作成や通帳のコピーの添付が認められている。
S004,相続・事業承継,mc,法定相続人のうち、遺留分（最低限の取り分）が認められていないのは誰か。,配偶者,直系尊属（父母など）,兄弟姉妹,,2,兄弟姉妹には遺留分は認められていない。
S005,相続・事業承継,mc,相続の放棄をする場合、原則として自己のために相続の開始があったことを知った時から何か月以内に家庭裁判所に申述しなければならないか。,1か月以内,3か月以内,10か月以内,,1,相続放棄および限定承認は、原則として3か月以内に家庭裁判所に申述する必要がある。
S006,相続・事業承継,mc,相続税の基礎控除額を求める計算式はどれか。,"3,000万円 ＋ 600万円 × 法定相続人の数","5,000万円 ＋ 1,000万円 × 法定相続人の数","3,000万円 ＋ 1,000万円 × 法定相続人の数",,0,"相続税の基礎控除額は「3,000万円 ＋ 600万円 × 法定相続人の数」である。"
S007,相続・事業承継,mc,被相続人の死亡によって支払われる生命保険金のうち、相続税の非課税限度額の計算式はどれか。,500万円 × 法定相続人の数,600万円 × 法定相続人の数,"1,000万円 × 法定相続人の数",,0,死亡保険金や死亡退職金の非課税限度額は「500万円 × 法定相続人の数」である。
S008,相続・事業承継,mc,暦年課税による贈与税の基礎控除額は、受贈者1人につき年間いくらか。,60万円,110万円,"2,500万円",,1,暦年課税の基礎控除額は、受贈者1人当たり年間110万円である。
S009,相続・事業承継,mc,相続時精算課税制度を選択した場合の特別控除額（累計）は最大いくらか。,"1,000万円","1,500万円","2,500万円",,2,"相続時精算課税制度では、累計2,500万円までの特別控除が認められている。"
S010,相続・事業承継,mc,取引相場のない株式（非上場株式）の原則的評価方式において、会社の業種や規模に応じて適用される方式は「純資産価額方式」ともう一つは何か。,配当還元方式,類似業種比準方式,収益還元方式,,1,同族株主等が取得する場合は原則的評価方式（類似業種比準方式と純資産価額方式等）により評価する。
L021,ライフプランニング,mc,ファイナンシャル・プランナーが顧客のライフプランニングを行う際に作成する、顧客の将来の収入・支出や貯蓄残高の推移を時系列に表した表を何というか。,キャッシュフロー表,個人バランスシート,ライフイベント表,,0,キャッシュフロー表は、現在の収支状況や将来のライフイベントを基に、将来の収支や貯蓄残高の推移を予測した表である。
L022,ライフプランニング,mc,公的医療保険の高額療養費制度において、自己負担限度額の算定における対象とならない費用はどれか。,処方箋による調剤代,差額ベッド代や入院時の食事療養の標準負担額,手術代,,1,差額ベッド代、食事代、先進医療の技術料などは高額療養費の対象外。
L023,ライフプランニング,mc,全国健康保険協会管掌健康保険（協会けんぽ）の被保険者が業務外の事由による療養のため労務に服することができず給与を受けられない場合、原則として何日目から傷病手当金が支給されるか。,起算して3日目,起算して4日目,起算して8日目,,1,連続する3日間（待期期間）の後、4日目から支給される。
L024,ライフプランニング,mc,雇用保険の基本手当（失業給付）の受給要件として、原則として離職の日以前の2年間に被保険者期間が通算して何か月以上あることが必要か（特定受給資格者等を除く）。,6か月,12か月,24か月,,1,原則として離職前2年間に被保険者期間が12か月以上必要。
L025,ライフプランニング,mc,労働者災害補償保険（労災保険）の保険料は誰が負担するか。,全額を事業主が負担,事業主と労働者が折半,全額を労働者が負担,,0,労災保険料は全額事業主負担。雇用保険料は労使双方負担。
L026,ライフプランニング,mc,国民年金の第1号被保険者となる対象者はどれか。,会社員,公務員,自営業者や学生,,2,自営業、農業・漁業者、学生、無職の者などは第1号被保険者。
